Price,Brand,Processor Brand,Processor Model,Generation,Processor Base Frequency,Processor Max Frequency,Processor Core,Processor Thread,CPU Cache,RAM,RAM Type,Storage Capacity,Display Size,Graphics Memory,Battery Capacity
70400,Acer,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,1TB,14,Shared,48
129800,MSI,Intel,Core i7,11th Gen,2.3,4.6,8,16,24,8GB,DDR4,1TB,15.6,4GB,51
29950,AVITA,Intel,Celeron N4020,NULL,1.1,2.8,2,2,4,4GB,LPDDR4,256GB,14,Shared,10
32010,Toshiba,Intel,Celeron 5205U,10th Gen,1.9,1.9,2,2,2,4GB,DDR4,128GB,14,Shared,45
32999,DOEL,AMD,A9-9425,NULL,3.1,3.7,2,2,1,4GB,DDR4,240GB,14.1,Shared,10
33420,Toshiba,Intel,Celeron 5205U,10th Gen,1.9,1.9,2,2,2,4GB,DDR4,256GB,14,Shared,45
36850,Acer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL
37950,Lenovo,Intel,Celeron Processor N4020,NULL,1.1,2.8,2,2,4,4GB,DDR4,1TB,15.6,Shared,45
37950,Lenovo,Intel,Celeron Processor N4020,NULL,1.1,2.8,2,2,4,4GB,DDR4,256GB SSD,15.6,Shared,45
38630,Lenovo,Intel,Celeron N4020,NULL,1.1,2.8,2,2,4,4GB,DDR4,128GB,10.1,Shared,39
38520,Lenovo,Intel,Celeron N4020,NULL,1.1,2.8,2,2,4,4GB ,DDR4,1TB,15.6,Shared,35
38500,Lenovo,Intel,Celeron Processor N4020,NULL,1.1,2.8,2,2,4,4GB,DDR4,256GB SSD,15.6,Shared,45
43400,Asus,Intel,Celeron Processor N4020,NULL,1.1,2.8,2,2,4,4GB,DDR4,1TB,15.6,Shared,37
46550,Toshiba,Intel,Core i3,10th Gen,2.1,4.1,2,4,4,8GB,DDR4,256GB,14,Shared,45
45650,Asus,Intel,Celeron N4500 Processor,NULL,1.1,2.8,2,2,4,4GB,DDR4,1TB,15.6,Shared,37
46200,Asus,Intel,Celeron N4500 Processor,NULL,1.1,2.8,2,2,4,4GB,DDR4,1TB,15.6,Shared,37
46200,Asus,Intel,Celeron N4500 Processor,NULL,1.1,2.8,2,2,4,4GB,DDR4,1TB,15.6,Shared,37
48280,Asus,Intel,Celeron Dual,NULL,1.1,2.8,2,2,4,4GB ,DDR4,512GB,15.6,Shared,42
47740,Asus,Intel,Celeron Processor N4020,NULL,1.1,2.8,2,2,4,4GB,DDR4,256GB,14,Shared,37
48830,Acer,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,1TB,15.6,Shared,36
49910,HP,Intel,Celeron N4500,NULL,1.1,2.8,2,2,4,4GB  ,DDR4,256GB,15.6,Shared,41
49830,Asus,Intel,Core i3,10th Gen,2.1,4.1,2,4,4,4GB ,DDR4,1TB,15.6,Shared,37
50240,Asus,Intel,Core i3,10th Gen,2.1,4.1,2,4,4,4GB ,DDR4,1TB,14,Shared,37
49410,Asus,Intel,Core i3,10th Gen,2.1,4.1,2,4,4,4GB ,DDR4,256GB SSD,14,Shared,37
49950,ASUS,Intel,Core i3,10th Gen,1.2,3.4,2,4,4,4GB ,DDR4,1TB,15.6,Shared,37
49910,Asus,Intel,Celeron Dual,NULL,1.1,2.8,2,2,4,4GB ,DDR4,512GB,15.6,Shared,42
50280,Asus,Intel,Core i3,10th Gen,2.1,4.1,2,4,4,4GB ,DDR4,1TB,15.6,Shared,37
48830,Acer,AMD,Ryzen 3,3th Gen,2.6,3.5,2,4,,8GB,DDR4,256GB,15.6,Shared,45
49910,Lenovo,Intel,Core i3,10th Gen,1.2,3.4,2,4,4,4GB,DDR4,256GB,15.6,Shared,35
49500,Asus,Intel,Celeron N4500 Processor,NULL,1.1,2.8,2,2,4,4GB,DDR4,256GB,11.6,Shared,42
51580,ASUS,Intel,Core i3,10th Gen,1.2,3.4,2,4,4,8GB,DDR4,1TB,15.6,Shared,37
54449,DOEL,Intel,Core i3,10th Gen,2.1,4.1,2,4,4,4GB,DDR4,512GB,14,Shared,36
50450,Walton,Intel,Core i3,10th Gen,2.1,4.1,2,4,4,8GB,DDR4,512GB,15.6,Shared,36
51860,Dell,Intel,Core i3,11th Gen,3,4.1,2,4,6,4 GB,DDR4,1TB,14,Shared,42
54470,ASUS,AMD,Ryzen 3,3th Gen,2.6,3.5,2,4,5,4GB ,DDR4,1TB HDD,14,Shared,37
55340,HP,AMD,AMD Ryzen,3th Gen,2.3,3.2,2,2,4,8 GB,DDR4,256 GB,15.6,Shared,41
55650,Microsoft,Intel,Pentium Gold Processor 4425Y,NULL,1.7,1.7,2,4,2,4GB,NULL,64GB,10.5,Shared,NULL
55380,ASUS,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB ,DDR4,1TB,15.6,Shared,37
56200,ASUS,AMD,Ryzen 3,3th Gen,2,2,4,NULL,5,4GB ,DDR4,1TB HDD,15.6,Shared,37
55380,ASUS,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB ,DDR4,1TB,15.6,Shared,37
56420,Dell,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,1TB,15.6,Shared,42
54450,ASUS,Intel,Core i3,10th Gen,1.2,3.4,2,4,4,4GB ,DDR4,512GB,15.6,Shared,37
57200,HP,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,1TB,15.6,Shared,41
56640,Lenovo,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,256GB,15.6,Shared,45
56750,Lenovo,AMD,Ryzen 3,3th Gen,2.6,2.6,2,4,4,8GB ,DDR4,512GB,15.6,Shared,41
54790,Acer,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,512GB SSD,15.6,Shared,36
55000,Walton,Intel,Core i5,8th Gen,1.6,3.4,4,8,6,8GB,DDR4,1TB,15.6,Shared,31
57200,Lenovo,Intel,Core i3,11th,3,4.1,2,4,6,4GB,DDR4,1TB HDD,15.6,Shared,45
54450,Dell,Intel,Core i3,11th Gen,3,4.1,2,4,6,4 GB,DDR4,1TB + 256GB SSD,14,Shared,42
59400,HP,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,1TB HDD + 256GB SSD,15.6,Shared,41
59460,ASUS,AMD,Ryzen 3,3th Gen,2.6,3.5,2,4,4,4GB ,DDR4,512GB,15.6,Shared,37
58000,Acer,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,1TB,15.6,Shared,48
58090,ASUS,AMD,Ryzen 3,3th Gen,2.6,3.5,2,4,4,4GB ,DDR4,512GB,15.6,Shared,37
59400,Lenovo,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,1TB HDD,15.6,Shared,38
61300,Lenovo,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB ,DDR4,256GB,14,Shared,45
58190,Walton,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,512GB,14,Shared,49
62390,ASUS,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB ,DDR4,512GB,15.6,Shared,37
62930,HP,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,1TB,15.6,Shared,41
63690,Dell,AMD,Ryzen 3,5th Gen,2.7,2.7,4,8,8,8GB,DDR4,256GB,15.6,Shared,41
61050,Asus,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,1TB HDD,15.6,Shared,42
63250,Acer,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,LPDDR4X,128GB,14,Shared,48
62470,Walton,Intel,Core i7,8th Gen,1.8,4,4,8,8,8GB,DDR4,1TB,15.6,Shared,31
63520,ASUS,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB ,DDR4,512GB,15.6,Shared,37
64020,ASUS,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB ,DDR4,512GB,15.6,Shared,37
63000,Acer,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,512GB,14,Shared,48
64560,ASUS,Intel,Core i5,10th Gen,1,3.6,4,8,6,4GB ,DDR4,1TB,15.6,Shared,37
62700,Acer,Intel,Core i3,13th Gen,1,3.6,8,8,6,8GB ,LPDDR5,512GB,15.6,Shared,40
65640,HP,AMD,Ryzen 3,5th Gen,2.6,3.8,4,8,4,8GB ,DDR4,512 GB,15.6,Shared,41
65450,Lenovo,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,512GB,15.6,Shared,45
66730,HP,Intel,Core i3,12th Gen,3,4.1,6,8,10,4GB ,DDR4,256 GB,15.6,Shared,41
65000,Lenovo,AMD,Ryzen 5,7th Gen,2.8,2.8,4,8,8,8GB ,DDR5,256GB,14,Shared,42
65000,Lenovo,AMD,Ryzen 5,7th Gen,2.8,2.8,4,8,8,8GB ,DDR5,256GB,15.6,Shared,42
67810,ASUS,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,1TB,15.6,Shared,37
67810,ASUS,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,512GB SSD,15.6,Shared,37
69299,DOEL,Intel,Core i5,10th Gen,1.6,4.2,4,8,6,8GB,DDR4,512GB,14,Shared,36
66770,ASUS,Intel,Core i5,10th Gen,1,3.6,4,8,6,8GB,DDR4,1TB,15.6,Shared,37
69300,Dell,Intel,Core i3,11th Gen,3,4.1,2,4,6,4 GB,DDR4,256GB,14,Shared,42
66000,Acer,Intel,Core i3,12th Gen,3.3,4.4,6,8,10,8GB,DDR4,512GB,15.6,Shared,40
68900,HP,Intel,Core i3,12th Gen,3.3,4.4,6,8,10,8GB,DDR4,256 GB,15.6,Shared,41
64600,Huawei,Intel,Core i3,11th Gen,2.4,4.2,2,4,6,8GB,DDR4,256GB,15.6,Shared,42
64600,HUAWEI,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,LPDDR4X,256 GB,15.6,Shared,42
66000,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,1TB,14,Shared,38
67100,Lenovo,AMD,Ryzen 5,7th Gen,2.8,2.8,4,8,8,8GB ,DDR5,500GB,14,Shared,42
65325,Walton,Intel,Core i5,10th Gen,1.6,4.2,4,8,6,8GB,DDR4,512GB,15.6,Shared,36
69980,HP,Intel,Core i3,12th Gen,1.6,4.2,6,8,10,8GB ,DDR4,512 GB,15.6,Shared,41
68200,Lenovo,AMD,Ryzen 5,7th Gen,2.8,2.8,4,8,8,8GB ,DDR5,512GB,15.6,Shared,42
67500,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,1TB + 256GB SSD,14,Shared,38
71390,Asus,Intel,Core i3,11th Gen,3,4.1,2,4,6,4GB,DDR4,512GB,15.6,Shared,42
69300,Acer,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,Shared,36
67500,Lenovo,Intel,Core i3,11th Gen,3,4.1,2,4,6,8GB,DDR4,512GB,14,Shared,45
71940,Dell,Intel,Core i3,12th Gen,3,4.1,6,8,10,8GB ,DDR4,512GB,15.6,Shared,41
69300,Lenovo,AMD,Ryzen 5,5th Gen,2.3,4.3,6,12,16,8GB,LPDDR4x,256GB,NULL,Shared,45
70950,Acer,AMD,Ryzen 5,7th Gen,2.8,2.8,4,8,8,8GB ,DDR4,512GB,15.6,Shared,40
73820,ASUS,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,4GB ,DDR4,1TB,15.6,Shared,37
74540,ASUS,Intel,Core i3,12th Gen,2.4,4.2,10,12,12,4GB,DDR4,512GB,14,Shared,42
71500,Lenovo,AMD,Ryzen 5,5th Gen,2.3,4.3,6,12,16,8GB,LPDDR4x,512GB,NULL,Shared,45
75410,ASUS,Intel,Core i3,12th Gen,2.3,4.3,10,12,12,4GB ,DDR4,512GB,15.6,Shared,42
73700,Lenovo,AMD,Ryzen 5,5th Gen,2.1,4,6,12,8,8GB,DDR4,512GB,15.6,Shared,38
74327,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
74327,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
74327,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
74327,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
74327,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
74327,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
73700,ASUS,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,4GB ,DDR4,512GB,14,Shared,37
72358,Walton,Intel,Core i5,11th Gen,2.4,4.2,4,8,6,8GB,DDR4,512GB,14,Shared,49
77360,Dell,AMD,Ryzen 5,5th Gen,2.3,4.3,6,12,16,8GB,DDR4,512GB,15.6,Shared,41
75416,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
75416,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
75416,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
75416,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
75416,Avita,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,10
79210,Realme,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,LPDDR4x,512GB,14,Shared,54
75600,Dell,Intel,Core i3,11th Gen,2,3.7,4,8,8,8GB,DDR4,256GB,14,Shared,42
79210,Realme,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,LPDDR4x,512GB,14,Shared,54
79200,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,Shared,45
80510,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB ,DDR4,512GB,15.6,Shared,NULL
80510,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,Shared,NULL
79750,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,45
75450,Walton,Intel,Core i7,10th Gen,1.8,4.9,4,8,8,8GB,DDR4,512GB,15.6,Shared,36
80330,ASUS,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,1TB,15.6,Shared,37
80850,Lenovo,Intel,Core i5,12th Gen,2.4,4.2,10,12,12,8GB,DDR4,256GB SSD,14,Shared,45
