Price,Brand,Processor Brand,Processor Model,Generation,Processor Base Frequency,Processor Max Frequency,Processor Core,Processor Thread,CPU Cache,RAM,RAM Type,Display Size,Graphics Memory,Battery Capacity
70400.0,4.0,1.0,1.0,11.0,2.4,4.2,4.0,1,8.0,1.0,1.0,14.0,1.0,48.0
129800.0,5.0,1.0,2.0,11.0,2.3,4.6,3.0,3,13.0,1.0,1.0,15.6,4.0,51.0
29950.0,11.0,1.0,7.0,12.0,1.1,2.8,2.0,2,4.0,4.0,3.0,14.0,1.0,10.0
32010.0,9.0,1.0,7.0,10.0,1.9,1.9,2.0,2,2.0,4.0,1.0,14.0,1.0,45.0
32999.0,6.0,2.0,10.0,11.0,3.1,3.7,2.0,2,1.0,4.0,1.0,14.1,1.0,10.0
33420.0,9.0,1.0,7.0,10.0,1.9,1.9,2.0,2,2.0,4.0,1.0,14.0,1.0,45.0
37950.0,2.0,1.0,7.0,11.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,45.0
37950.0,2.0,1.0,7.0,12.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,45.0
38630.0,2.0,1.0,7.0,11.0,1.1,2.8,2.0,2,4.0,4.0,1.0,10.1,1.0,39.0
38520.0,2.0,1.0,7.0,11.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,35.0
38500.0,2.0,1.0,7.0,12.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,45.0
43400.0,1.0,1.0,7.0,11.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
46550.0,9.0,1.0,3.0,10.0,2.1,4.1,2.0,2,4.0,1.0,1.0,14.0,1.0,45.0
45650.0,1.0,1.0,7.0,11.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
46200.0,1.0,1.0,7.0,4.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
46200.0,1.0,1.0,7.0,11.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
48280.0,1.0,1.0,7.0,12.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,42.0
47740.0,1.0,1.0,7.0,12.0,1.1,2.8,2.0,2,4.0,4.0,1.0,14.0,1.0,37.0
48830.0,4.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,36.0
49910.0,3.0,1.0,7.0,11.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,41.0
49830.0,1.0,1.0,3.0,10.0,2.1,4.1,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
50240.0,1.0,1.0,3.0,10.0,2.1,4.1,2.0,2,4.0,4.0,1.0,14.0,1.0,37.0
49410.0,1.0,1.0,3.0,10.0,2.1,4.1,2.0,2,4.0,4.0,1.0,14.0,1.0,37.0
49950.0,1.0,1.0,3.0,10.0,1.2,3.4,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
49910.0,1.0,1.0,7.0,7.0,1.1,2.8,2.0,2,4.0,4.0,1.0,15.6,1.0,42.0
50280.0,1.0,1.0,3.0,10.0,2.1,4.1,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
48830.0,4.0,2.0,6.0,3.0,2.6,3.5,2.0,2,9.0,1.0,1.0,15.6,1.0,45.0
49910.0,2.0,1.0,3.0,10.0,1.2,3.4,2.0,2,4.0,4.0,1.0,15.6,1.0,35.0
49500.0,1.0,1.0,7.0,4.0,1.1,2.8,2.0,2,4.0,4.0,1.0,11.6,1.0,42.0
51580.0,1.0,1.0,3.0,10.0,1.2,3.4,2.0,2,4.0,1.0,1.0,15.6,1.0,37.0
54449.0,6.0,1.0,3.0,10.0,2.1,4.1,2.0,2,4.0,4.0,1.0,14.0,1.0,36.0
50450.0,9.0,1.0,3.0,10.0,2.1,4.1,2.0,2,4.0,1.0,1.0,15.6,1.0,36.0
51860.0,6.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,14.0,1.0,42.0
54470.0,1.0,2.0,6.0,3.0,2.6,3.5,2.0,2,5.0,4.0,1.0,14.0,1.0,37.0
55340.0,3.0,2.0,11.0,3.0,2.3,3.2,2.0,2,4.0,1.0,1.0,15.6,1.0,41.0
55650.0,8.0,1.0,7.0,11.0,1.7,1.7,2.0,2,2.0,4.0,2.0,10.5,1.0,56.0
55380.0,1.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,37.0
56200.0,1.0,2.0,6.0,3.0,2.0,2.0,4.0,2,5.0,4.0,1.0,15.6,1.0,37.0
55380.0,1.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,37.0
56420.0,6.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,42.0
54450.0,1.0,1.0,3.0,10.0,1.2,3.4,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
57200.0,3.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,41.0
56640.0,2.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,45.0
56750.0,2.0,2.0,6.0,3.0,2.6,2.6,2.0,2,4.0,1.0,1.0,15.6,1.0,41.0
54790.0,4.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,15.6,1.0,36.0
55000.0,9.0,1.0,1.0,8.0,1.6,3.4,4.0,1,6.0,1.0,1.0,15.6,1.0,31.0
57200.0,2.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,45.0
54450.0,6.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,14.0,1.0,42.0
59400.0,3.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,41.0
59460.0,1.0,2.0,6.0,3.0,2.6,3.5,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
58000.0,4.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,48.0
